Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,year
CA-097,Sonoma County,10.12,1,-31.9,42.02,2013
CA-099,Stanislaus County,4.37,1,-9.28,13.65,2013
CA-101,Sutter County,6.57,2,-12.41,18.98,2013
CA-103,Tehama County,11.42,1,-25.09,36.51,2013
CA-105,Trinity County,19.11,1,-38.38,57.49,2013
CA-107,Tulare County,6.87,1,-14.97,21.84,2013
CA-109,Tuolumne County,12.64,1,-28.2,40.84,2013
CA-111,Ventura County,4.93,1,-15.48,20.41,2013
CA-113,Yolo County,5.79,1,-14.22,20.01,2013
CA-115,Yuba County,11.15,1,-26.58,37.73,2013
CA-001,Alameda County,19.88,77,1.13,18.75,2014
CA-003,Alpine County,29.38,31,-6.76,36.14,2014
CA-005,Amador County,31.29,50,-3.94,35.23,2014
CA-007,Butte County,43.72,62,-0.69,44.41,2014
CA-009,Calaveras County,29.56,48,-4.71,34.27,2014
CA-011,Colusa County,28.67,103,6.67,22,2014
CA-013,Contra Costa County,21.07,85,2.58,18.49,2014
CA-015,Del Norte County,67.16,35,-12.83,79.99,2014
CA-017,El Dorado County,39.91,51,-4.73,44.64,2014
CA-019,Fresno County,12.44,16,-7.16,19.6,2014
CA-021,Glenn County,31.68,97,5.8,25.88,2014
CA-023,Humboldt County,54.59,45,-8.8,63.39,2014
CA-025,Imperial County,2.06,30,-1.32,3.38,2014
CA-027,Inyo County,4.68,42,-1.56,6.24,2014
CA-029,Kern County,6.17,29,-2.88,9.05,2014
CA-031,Kings County,6.15,43,-1.46,7.61,2014
CA-033,Lake County,48.5,84,5.04,43.46,2014
CA-035,Lassen County,20.3,72,-0.1,20.4,2014
CA-037,Los Angeles County,10.32,34,-5.24,15.56,2014
CA-039,Madera County,13.96,11,-9.16,23.12,2014
CA-041,Marin County,40.24,85,4.76,35.48,2014
CA-043,Mariposa County,19.44,10,-13.37,32.81,2014
CA-045,Mendocino County,55.43,78,3.82,51.61,2014
CA-047,Merced County,10.12,57,-1.15,11.27,2014
CA-049,Modoc County,18.21,72,0.14,18.07,2014
CA-051,Mono County,10.68,17,-4.95,15.63,2014
CA-053,Monterey County,19.93,69,-0.17,20.1,2014
CA-055,Napa County,33.28,79,2.18,31.1,2014
CA-057,Nevada County,48.42,65,-1.95,50.37,2014
CA-059,Orange County,7.63,18,-5.92,13.55,2014
CA-061,Placer County,42.03,57,-3.74,45.77,2014
CA-063,Plumas County,39.05,61,-2.16,41.21,2014
CA-065,Riverside County,5.23,28,-3.26,8.49,2014
CA-067,Sacramento County,18.89,69,0.2,18.69,2014
CA-069,San Benito County,15.71,59,-1.03,16.74,2014
CA-071,San Bernardino County,4.82,33,-2.04,6.86,2014
CA-073,San Diego County,8.07,13,-6.22,14.29,2014
CA-075,San Francisco County,28.74,91,4.44,24.3,2014
CA-077,San Joaquin County,14.4,72,0.35,14.05,2014
CA-079,San Luis Obispo County,12.18,30,-4.98,17.16,2014
CA-081,San Mateo County,28.55,71,-0.11,28.66,2014
CA-083,Santa Barbara County,13.21,37,-5.63,18.84,2014
CA-085,Santa Clara County,24.39,79,1.28,23.11,2014
CA-087,Santa Cruz County,33.51,70,0.46,33.05,2014
CA-089,Shasta County,44.52,80,2.58,41.94,2014
CA-091,Sierra County,41.88,57,-3.87,45.75,2014
CA-093,Siskiyou County,36.62,60,-2.19,38.81,2014
CA-095,Solano County,22.04,80,2.25,19.79,2014
CA-097,Sonoma County,44.19,76,2.17,42.02,2014
CA-099,Stanislaus County,14.42,77,0.77,13.65,2014
CA-101,Sutter County,20.03,74,1.05,18.98,2014
CA-103,Tehama County,42.34,93,5.83,36.51,2014
CA-105,Trinity County,55.3,64,-2.19,57.49,2014
CA-107,Tulare County,14.47,21,-7.37,21.84,2014
CA-109,Tuolumne County,30.42,29,-10.42,40.84,2014
CA-111,Ventura County,14.86,41,-5.55,20.41,2014
CA-113,Yolo County,21.62,80,1.61,20.01,2014
CA-115,Yuba County,38.61,72,0.88,37.73,2014
CA-001,Alameda County,10.39,9,-8.36,18.75,2015
CA-003,Alpine County,30.36,41,-5.78,36.14,2015
CA-005,Amador County,26.66,32,-8.57,35.23,2015
CA-007,Butte County,20.74,4,-23.67,44.41,2015
CA-009,Calaveras County,25.26,28,-9.01,34.27,2015
CA-011,Colusa County,11.92,10,-10.08,22,2015
CA-013,Contra Costa County,9.28,6,-9.21,18.49,2015
CA-015,Del Norte County,69.35,42,-10.64,79.99,2015
CA-017,El Dorado County,32.49,26,-12.15,44.64,2015
CA-019,Fresno County,12.23,14,-7.37,19.6,2015
CA-021,Glenn County,12.36,5,-13.52,25.88,2015
CA-023,Humboldt County,50.55,28,-12.84,63.39,2015
CA-025,Imperial County,2.21,34,-1.17,3.38,2015
CA-027,Inyo County,5.17,52,-1.07,6.24,2015
CA-029,Kern County,5.56,18,-3.49,9.05,2015
CA-031,Kings County,4.58,18,-3.03,7.61,2015
CA-033,Lake County,25.36,13,-18.1,43.46,2015
CA-035,Lassen County,17.23,43,-3.17,20.4,2015
CA-037,Los Angeles County,7.11,11,-8.45,15.56,2015
CA-039,Madera County,14.42,14,-8.7,23.12,2015
CA-041,Marin County,15.93,5,-19.55,35.48,2015
CA-043,Mariposa County,20,13,-12.81,32.81,2015
CA-045,Mendocino County,35.42,20,-16.19,51.61,2015
CA-047,Merced County,6.98,14,-4.29,11.27,2015
CA-049,Modoc County,16.85,54,-1.22,18.07,2015
CA-051,Mono County,14.08,53,-1.55,15.63,2015
CA-053,Monterey County,11.24,13,-8.86,20.1,2015
CA-055,Napa County,13.88,5,-17.22,31.1,2015
CA-057,Nevada County,32.08,13,-18.29,50.37,2015
CA-059,Orange County,5.91,10,-7.64,13.55,2015
CA-061,Placer County,31,17,-14.77,45.77,2015
CA-063,Plumas County,26.23,14,-14.98,41.21,2015
CA-065,Riverside County,5.43,30,-3.06,8.49,2015
CA-067,Sacramento County,9.56,6,-9.13,18.69,2015
CA-069,San Benito County,10.12,15,-6.62,16.74,2015
CA-071,San Bernardino County,5.54,44,-1.32,6.86,2015
CA-073,San Diego County,9.08,22,-5.21,14.29,2015
CA-075,San Francisco County,11.15,4,-13.15,24.3,2015
CA-077,San Joaquin County,7.69,7,-6.36,14.05,2015
CA-079,San Luis Obispo County,6.65,6,-10.51,17.16,2015
CA-081,San Mateo County,14.07,7,-14.59,28.66,2015
CA-083,Santa Barbara County,5.05,3,-13.79,18.84,2015
CA-085,Santa Clara County,13.73,13,-9.38,23.11,2015
CA-087,Santa Cruz County,17.02,8,-16.03,33.05,2015
CA-089,Shasta County,27.65,15,-14.29,41.94,2015
CA-091,Sierra County,31.09,16,-14.66,45.75,2015
CA-093,Siskiyou County,32.34,34,-6.47,38.81,2015
CA-095,Solano County,8.74,5,-11.05,19.79,2015
CA-097,Sonoma County,21.43,7,-20.59,42.02,2015
CA-099,Stanislaus County,8.63,16,-5.02,13.65,2015
CA-101,Sutter County,8.87,6,-10.11,18.98,2015
CA-103,Tehama County,19.56,7,-16.95,36.51,2015
CA-105,Trinity County,43.21,27,-14.28,57.49,2015
CA-107,Tulare County,15.27,23,-6.57,21.84,2015
CA-109,Tuolumne County,30.01,27,-10.83,40.84,2015
CA-111,Ventura County,6.82,3,-13.59,20.41,2015
CA-113,Yolo County,9.19,5,-10.82,20.01,2015
CA-115,Yuba County,19.52,4,-18.21,37.73,2015
CA-001,Alameda County,22.55,96,3.8,18.75,2016
CA-003,Alpine County,39.63,87,3.49,36.14,2016
CA-005,Amador County,41.01,89,5.78,35.23,2016
CA-007,Butte County,55.96,103,11.55,44.41,2016
CA-009,Calaveras County,40.49,90,6.22,34.27,2016
CA-011,Colusa County,25.49,86,3.49,22,2016
CA-013,Contra Costa County,22.55,92,4.06,18.49,2016
CA-015,Del Norte County,97.59,107,17.6,79.99,2016
CA-017,El Dorado County,53.14,96,8.5,44.64,2016
CA-019,Fresno County,19.6,68,0,19.6,2016
CA-021,Glenn County,29.61,89,3.73,25.88,2016
CA-023,Humboldt County,79.86,107,16.47,63.39,2016
CA-025,Imperial County,3.06,65,-0.32,3.38,2016
CA-027,Inyo County,4.91,48,-1.33,6.24,2016
CA-029,Kern County,9.21,76,0.16,9.05,2016
CA-031,Kings County,7.61,71,0,7.61,2016
CA-033,Lake County,55.34,103,11.88,43.46,2016
CA-035,Lassen County,23.63,100,3.23,20.4,2016
CA-037,Los Angeles County,12.59,53,-2.97,15.56,2016
CA-039,Madera County,24.08,76,0.96,23.12,2016
CA-041,Marin County,40.81,88,5.33,35.48,2016
CA-043,Mariposa County,34.7,78,1.89,32.81,2016
CA-045,Mendocino County,65.92,108,14.31,51.61,2016
CA-047,Merced County,14.46,106,3.19,11.27,2016
CA-049,Modoc County,19.17,84,1.1,18.07,2016
CA-051,Mono County,15.22,75,-0.41,15.63,2016
CA-053,Monterey County,20.86,75,0.76,20.1,2016
CA-055,Napa County,36.01,89,4.91,31.1,2016
CA-057,Nevada County,65.78,107,15.41,50.37,2016
CA-059,Orange County,10.92,53,-2.63,13.55,2016
CA-061,Placer County,57.28,103,11.51,45.77,2016
CA-063,Plumas County,52.75,104,11.54,41.21,2016
CA-065,Riverside County,8.04,70,-0.45,8.49,2016
CA-067,Sacramento County,22.67,97,3.98,18.69,2016
CA-069,San Benito County,17.65,81,0.91,16.74,2016
CA-071,San Bernardino County,6.6,73,-0.26,6.86,2016
CA-073,San Diego County,13.17,70,-1.12,14.29,2016
CA-075,San Francisco County,28.85,92,4.55,24.3,2016
CA-077,San Joaquin County,18.33,108,4.28,14.05,2016
CA-079,San Luis Obispo County,16.06,65,-1.1,17.16,2016
CA-081,San Mateo County,33.08,87,4.42,28.66,2016
CA-083,Santa Barbara County,15.99,55,-2.85,18.84,2016
CA-085,Santa Clara County,29.64,101,6.53,23.11,2016
CA-087,Santa Cruz County,40.44,98,7.39,33.05,2016
CA-089,Shasta County,57.21,113,15.27,41.94,2016
CA-091,Sierra County,60.57,107,14.82,45.75,2016
CA-093,Siskiyou County,48.93,110,10.12,38.81,2016
CA-095,Solano County,22.86,87,3.07,19.79,2016
CA-097,Sonoma County,49.56,94,7.54,42.02,2016
CA-099,Stanislaus County,18.04,108,4.39,13.65,2016
CA-101,Sutter County,21.39,91,2.41,18.98,2016
CA-103,Tehama County,47.99,108,11.48,36.51,2016
CA-105,Trinity County,74.92,112,17.43,57.49,2016
CA-107,Tulare County,19.73,58,-2.11,21.84,2016
CA-109,Tuolumne County,45.14,84,4.3,40.84,2016
CA-111,Ventura County,16.14,50,-4.27,20.41,2016
CA-113,Yolo County,22.92,89,2.91,20.01,2016
CA-115,Yuba County,46.73,101,9,37.73,2016
CA-001,Alameda County,24.97,108,6.22,18.75,2017
CA-003,Alpine County,64.24,125,28.1,36.14,2017
CA-005,Amador County,55.94,122,20.71,35.23,2017
CA-007,Butte County,56.41,105,12,44.41,2017
CA-009,Calaveras County,51.55,120,17.28,34.27,2017
CA-011,Colusa County,27.44,100,5.44,22,2017
CA-013,Contra Costa County,26.84,116,8.35,18.49,2017
CA-015,Del Norte County,92.56,96,12.57,79.99,2017
CA-017,El Dorado County,73.52,123,28.88,44.64,2017
CA-019,Fresno County,27.16,113,7.56,19.6,2017
CA-021,Glenn County,28.56,82,2.68,25.88,2017
