county_name,county,year,age_group,numerator,rate,total_pop,pop_density,housing_density
Ventura,06111,2012,Under 18,1210,59.4,823318,446.7,152.8
Yolo,06113,2012,Under 18,251,56.5,200849,197.9,74
Yuba,06115,2012,Under 18,64,30.6,72155,114.2,43.7
Alameda,06001,2011,Under 18,2629,75.9,1510271,2043.6,788.3
Amador,06005,2011,Under 18,53,91.7,38091,64.1,30.3
Butte,06007,2011,Under 18,295,63.8,220000,134.4,58.6
Calaveras,06009,2011,Under 18,67,84.1,45578,44.7,27.4
Colusa,06011,2011,Under 18,32,49.4,21419,18.6,6.9
Contra Costa,06013,2011,Under 18,2379,93.2,1049025,1465.2,559.1
Del Norte,06015,2011,Under 18,55,90,28610,28.4,11.1
El Dorado,06017,2011,Under 18,160,40.4,181058,106,51.6
Fresno,06019,2011,Under 18,3553,126.1,930450,156.2,53
Glenn,06021,2011,Under 18,42,53.1,28122,21.4,8.2
Humboldt,06023,2011,Under 18,177,65,134623,37.7,17.3
Imperial,06025,2011,Under 18,725,143.4,174528,41.8,13.4
Inyo,06027,2011,Under 18,31,79.9,18546,1.8,0.9
Kern,06029,2011,Under 18,2091,82.1,839631,103.3,35
Kings,06031,2011,Under 18,595,138.3,152982,110.1,31.6
Lake,06033,2011,Under 18,123,91.8,64665,51.5,28.2
Lassen,06035,2011,Under 18,29,49.8,34895,7.7,2.8
Los Angeles,06037,2011,Under 18,20328,87.2,9818605,2419.6,849
Madera,06039,2011,Under 18,613,142.2,150865,70.6,23
Marin,06041,2011,Under 18,227,43.2,252409,485.1,213.7
Mariposa,06043,2011,Under 18,25,85.3,18251,12.6,7
Mendocino,06045,2011,Under 18,141,73.6,87841,25.1,11.5
Merced,06047,2011,Under 18,891,110.7,255793,132.2,43.3
Monterey,06053,2011,Under 18,955,84.1,415057,126.5,42.4
Napa,06055,2011,Under 18,145,47.1,136484,182.4,73.2
Nevada,06057,2011,Under 18,118,66.3,98764,103.1,54.9
Orange,06059,2011,Under 18,3585,50,3010232,3807.7,1326.8
Placer,06061,2011,Under 18,313,37.1,348432,247.6,108.5
Plumas,06063,2011,Under 18,30,89.9,20007,7.8,6.1
Riverside,06065,2011,Under 18,4013,66,2189641,303.8,111.1
Sacramento,06067,2011,Under 18,2895,79.8,1418788,1470.8,576.3
San Benito,06069,2011,Under 18,156,100.3,55269,39.8,12.9
San Bernardino,06071,2011,Under 18,5198,89.6,2035210,101.5,34.9
San Diego,06073,2011,Under 18,4755,65.2,3095313,735.8,276.9
San Francisco,06075,2011,Under 18,777,66.8,805235,17179.2,8041.8
San Joaquin,06077,2011,Under 18,1579,79.5,685306,492.6,168
San Luis Obispo,06079,2011,Under 18,267,53.3,269637,81.7,35.6
San Mateo,06081,2011,Under 18,871,53.1,718451,1602.2,604.4
Santa Barbara,06083,2011,Under 18,547,55.7,423895,155,55.9
Santa Clara,06085,2011,Under 18,1895,43.1,1781642,1381,489.8
Santa Cruz,06087,2011,Under 18,367,66.1,262382,589.4,234.7
Shasta,06089,2011,Under 18,284,73.2,177223,46.9,20.5
Siskiyou,06093,2011,Under 18,42,46.8,44900,7.2,3.8
Solano,06095,2011,Under 18,1056,107.4,413344,503,185.8
Sonoma,06097,2011,Under 18,633,60.5,483878,307.1,129.8
Stanislaus,06099,2011,Under 18,1028,70.9,514453,344.2,120.1
