OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,GlobalID,SHAPE_Length,SHAPE_Area
13126,2004,CA,CDF,SCU,CORRAL_HOLLOW,00003829,2004/07/10 00:00:00,2004/07/10 00:00:00,11,,875,875.49872,1,1,00000225,{A5F6AD3E-3D22-463D-AF10-C5E66D2D87B0},10860.3699289993,5664020.32382733
13127,2004,CA,CDF,FKU,GATOS,00008513,2004/07/11 00:00:00,2004/07/13 00:00:00,11,,1000,1144.8376,6,1,00000118,{B5B4AC12-1816-443D-AD64-86B4E688EB63},11201.1993266507,7136634.74493243
13128,2004,CA,CDF,BEU,CHUALAR,00002411,2004/06/30 00:00:00,2004/06/30 00:00:00,11,,343.18,343.18857,2,1,00000257,{0F7141A9-65BD-437E-B96F-BB718452285B},8810.30521128275,2158900.0021469
13129,2004,CA,CDF,BEU,LAGUNA,00003141,2004/08/09 00:00:00,2004/08/09 00:00:00,5,,119,134.68428,6,1,00000332,{9E24A952-F178-4740-B05C-99AC8C5A73D7},3699.57617838593,841348.088348479
13130,2004,CA,CDF,BEU,PINECYN,00001204,2004/04/10 00:00:00,2004/04/10 00:00:00,11,,66,49.674362,6,1,00000119,{2CD4C9BA-C2CF-47E2-8C97-1AA88C7F960A},2764.2454676401,309251.700918703
13131,2004,CA,CDF,BEU,RIVER RD,00002441,2004/07/03 00:00:00,2004/07/03 00:00:00,10,,20,18.116339,1,1,00000262,{52812447-04EC-44F0-8E3D-557C7E8180DC},2550.26745045124,113921.32051703
13132,2004,CA,CDF,TUU,FRAZIER,00004886,2004/05/07 00:00:00,,14,,1563.67,1563.7036,8,1,00000000,{49440C01-48CE-4C63-A89A-1EFB70466483},17465.3803225037,9747854.48877681
13133,1999,CA,CDF,LNU,LOOKOUT,00005482,1999/09/14 00:00:00,,1,,,218.5887,,1,00000000,{E2739660-A106-477F-8A54-2D006085ADB3},5673.60322525309,1454941.04431082
13134,1999,CA,CDF,LNU,BROWNS,00003584,1999/07/05 00:00:00,,9,,,437.07562,,1,00000000,{6C5618BD-FD64-4521-96B5-78E7B5490BA0},7782.95434202258,2884642.70453826
13135,1999,CA,CDF,LNU,ROAD 2,00005945,1999/10/12 00:00:00,,14,,,443.28528,,1,00000000,{70DE56B1-1F0C-4667-BDB6-5334515F0F28},7779.13533957778,2966506.65782114
13136,1999,CA,CDF,SHU,SPRING #5,00000000,1999/08/23 00:00:00,,1,,,871.27301,,1,00006723,{9BB4E289-D84A-4360-94DF-07A968ACB138},15010.4756680838,6140909.65468379
